,0,1,2,3,4
0,1051.78,1051.73,1052.35,217.97,0
1,1051.75,1051.74,1052.35,219.14,0
3,1051.81,1051.75,1052.38,218.75,0
4,1051.78,1051.73,1052.35,217.97,0
5,1051.75,1051.74,1052.35,219.14,0
7,1051.81,1051.75,1052.38,218.75,0
8,1051.78,1051.73,1052.35,217.97,0
9,1051.75,1051.74,1052.35,219.14,0
10,1051.74,1051.76,1052.46,220.31,0
11,1051.76,1051.78,1052.44,218.75,0
12,1051.77,1051.74,1052.35,218.75,0
13,1051.8,1051.72,1052.33,219.92,0
14,1051.78,1051.67,1052.33,218.75,0
15,1051.79,1051.72,1052.33,219.14,0
16,1051.74,1051.75,1052.41,217.97,0
17,1051.76,1051.83,1052.48,220.31,0
18,1051.69,1051.78,1052.45,218.36,0
19,1051.74,1051.8,1052.49,219.53,0
20,1051.75,1051.79,1052.43,218.36,0
21,1051.75,1051.77,1052.43,219.53,0
22,1051.83,1051.7,1052.37,218.75,0
23,1051.81,1051.76,1052.37,218.36,0
24,1051.73,1051.73,1052.39,219.14,0
25,1051.82,1051.79,1052.42,218.36,0
26,1051.73,1051.81,1052.47,218.75,0
27,1051.75,1051.82,1052.5,220.31,0
28,1051.74,1051.77,1052.48,217.58,0
29,1051.81,1051.82,1052.47,220.31,0
30,1051.77,1051.75,1052.4,218.75,0
31,1051.8,1051.8,1052.38,219.92,0
32,1051.84,1051.71,1052.34,218.75,0
33,1051.78,1051.73,1052.38,218.36,0
34,1051.77,1051.74,1052.39,219.53,0
35,1051.79,1051.83,1052.47,219.14,0
36,1051.74,1051.79,1052.48,220.31,0
37,1051.79,1051.81,1052.51,218.36,0
38,1051.79,1051.79,1052.49,217.97,0
39,1051.78,1051.81,1052.52,218.36,0
40,1051.83,1051.75,1052.38,218.36,0
41,1051.82,1051.75,1052.39,219.53,0
42,1051.78,1051.71,1052.36,218.36,0
43,1051.81,1051.77,1052.38,220.31,0
44,1051.8,1051.78,1052.46,220.31,0
45,1051.74,1051.83,1052.48,219.92,0
46,1051.76,1051.81,1052.5,219.53,0
47,1051.78,1051.87,1052.56,218.75,0
48,1051.76,1051.81,1052.45,218.75,0
49,1051.8,1051.77,1052.42,217.97,0
50,1051.82,1051.72,1052.39,219.53,0
51,1051.77,1051.74,1052.37,219.92,0
52,1051.78,1051.78,1052.4,220.31,0
53,1051.77,1051.82,1052.48,218.36,0
54,1051.75,1051.81,1052.49,218.75,0
55,1051.79,1051.83,1052.52,219.53,0
56,1051.75,1051.83,1052.53,218.75,0
57,1051.81,1051.8,1052.48,218.75,0
58,1051.79,1051.74,1052.43,218.36,0
59,1051.82,1051.74,1052.36,219.92,0
60,1051.79,1051.69,1052.33,219.92,0
61,1051.82,1051.73,1052.38,217.97,0
62,1051.79,1051.82,1052.42,218.36,0
63,1051.75,1051.83,1052.48,219.53,0
64,1051.8,1051.79,1052.47,218.75,0
65,1051.81,1051.85,1052.51,220.31,0
66,1051.76,1051.74,1052.45,218.36,0
67,1051.83,1051.75,1052.44,218.75,0
68,1051.82,1051.72,1052.38,219.92,0
69,1051.81,1051.71,1052.37,218.36,0
70,1051.83,1051.77,1052.38,218.75,0
71,1051.78,1051.78,1052.42,220.31,0
72,1051.72,1051.79,1052.46,219.53,0
73,1051.77,1051.82,1052.52,218.75,0
74,1051.76,1051.82,1052.51,220.31,0
75,1051.75,1051.78,1052.49,218.75,0
76,1051.83,1051.78,1052.46,219.14,0
77,1051.8,1051.76,1052.43,219.92,0
78,1051.8,1051.71,1052.38,220.31,0
79,1051.81,1051.77,1052.39,219.14,0
80,1051.8,1051.81,1052.38,218.75,0
81,1051.77,1051.83,1052.43,219.14,0
82,1051.76,1051.87,1052.51,219.92,0
83,1051.75,1051.82,1052.52,219.14,0
84,1051.76,1051.81,1052.47,218.36,0
85,1051.81,1051.81,1052.47,218.36,0
86,1051.8,1051.75,1052.39,219.14,0
87,1051.82,1051.71,1052.37,220.31,0
88,1051.81,1051.77,1052.35,218.75,0
89,1051.78,1051.77,1052.38,218.75,0
90,1051.81,1051.76,1052.45,219.92,0
91,1051.79,1051.85,1052.51,219.92,0
92,1051.77,1051.84,1052.49,218.36,0
93,1051.75,1051.81,1052.49,218.75,0
94,1051.84,1051.8,1052.46,218.36,0
95,1051.75,1051.78,1052.43,219.92,0
96,1051.82,1051.73,1052.33,219.92,0
97,1051.81,1051.78,1052.35,220.31,0
98,1051.81,1051.76,1052.38,219.92,0
99,1051.76,1051.79,1052.42,219.14,0
100,1051.78,1051.87,1052.49,218.36,0
101,1051.74,1051.82,1052.5,218.36,0
102,1051.79,1051.84,1052.46,219.92,0
103,1051.84,1051.8,1052.49,218.75,0
104,1051.77,1051.73,1052.43,220.31,0
105,1051.86,1051.74,1052.36,219.53,0
106,1051.82,1051.71,1052.4,218.36,0
107,1051.8,1051.74,1052.37,219.53,0
108,1051.79,1051.8,1052.43,219.14,0
109,1051.8,1051.83,1052.47,218.36,0
110,1051.77,1051.83,1052.51,218.36,0
111,1051.77,1051.82,1052.55,219.14,0
112,1051.81,1051.8,1052.51,218.36,0
113,1051.76,1051.76,1052.49,220.31,0
114,1051.82,1051.76,1052.42,219.14,0
115,1051.79,1051.73,1052.34,218.36,0
116,1051.81,1051.69,1052.35,219.92,0
117,1051.77,1051.75,1052.37,218.75,0
118,1051.79,1051.81,1052.44,219.92,0
119,1051.76,1051.8,1052.47,218.36,0
120,1051.74,1051.82,1052.52,219.14,0
121,1051.78,1051.84,1052.51,218.75,0
122,1051.83,1051.77,1052.46,220.31,0
123,1051.84,1051.79,1052.43,220.31,0
124,1051.78,1051.76,1052.39,219.14,0
125,1051.82,1051.72,1052.37,220.31,0
126,1051.83,1051.76,1052.36,218.36,0
127,1051.76,1051.76,1052.41,219.14,0
128,1051.78,1051.83,1052.46,218.75,0
129,1051.77,1051.83,1052.52,218.75,0
130,1051.78,1051.85,1052.5,219.92,0
131,1051.76,1051.82,1052.47,218.36,0
132,1051.82,1051.8,1052.46,218.75,0
133,1051.77,1051.75,1052.4,218.75,0
134,1051.8,1051.73,1052.36,219.14,0
135,1051.81,1051.74,1052.36,220.31,0
