,0,1,2,3,4
0,1050.02,1049.9,1050.19,220.31,0
1,1049.95,1049.87,1050.2,219.53,0
2,1049.99,1049.89,1050.15,218.36,0
3,1050.02,1049.9,1050.19,220.31,0
4,1049.95,1049.87,1050.2,219.53,0
5,1049.99,1049.89,1050.15,218.36,0
6,1050.02,1049.9,1050.19,220.31,0
7,1049.95,1049.87,1050.2,219.53,0
8,1049.99,1049.89,1050.15,218.36,0
9,1049.96,1049.81,1050.12,218.75,0
10,1050.02,1049.8,1050.12,218.75,0
11,1049.96,1049.82,1050.13,218.75,0
12,1049.95,1049.83,1050.18,219.14,0
13,1049.93,1049.83,1050.16,220.31,0
14,1049.97,1049.9,1050.17,220.7,0
15,1049.95,1049.82,1050.12,218.75,0
16,1049.95,1049.81,1050.11,219.14,0
17,1049.98,1049.83,1050.1,218.75,0
18,1050.02,1049.88,1050.11,219.92,0
19,1049.98,1049.85,1050.13,219.14,0
20,1050.02,1049.86,1050.17,220.7,0
21,1050.05,1049.84,1050.16,220.31,0
22,1050,1049.85,1050.15,220.7,0
23,1050.02,1049.82,1050.15,220.7,0
24,1050.06,1049.82,1050.16,219.92,0
25,1050.01,1049.81,1050.14,221.09,0
26,1050.02,1049.83,1050.15,219.14,0
27,1050.04,1049.87,1050.18,220.31,0
28,1050,1049.9,1050.22,219.92,0
29,1049.97,1049.86,1050.17,219.14,0
30,1050.05,1049.86,1050.17,219.14,0
31,1050.03,1049.86,1050.17,219.53,0
32,1049.96,1049.82,1050.14,220.7,0
33,1050.03,1049.83,1050.09,218.75,0
34,1050.04,1049.88,1050.13,218.75,0
35,1050.01,1049.86,1050.17,219.14,0
36,1050.04,1049.87,1050.19,220.31,0
37,1050.08,1049.93,1050.24,219.14,0
38,1050.01,1049.87,1050.24,219.92,0
39,1050.03,1049.83,1050.17,218.75,0
40,1050.09,1049.88,1050.15,219.14,0
41,1050.01,1049.82,1050.17,219.53,0
42,1050.03,1049.86,1050.14,219.53,0
43,1050.01,1049.84,1050.16,219.53,0
44,1050.01,1049.9,1050.2,218.75,0
45,1049.97,1049.88,1050.2,220.7,0
46,1050.08,1049.9,1050.19,218.75,0
47,1050.03,1049.85,1050.15,219.14,0
48,1049.98,1049.86,1050.19,220.31,0
49,1050.01,1049.84,1050.13,220.31,0
