,0,1,2,3,4
0,1049.95,1051.22,1050.58,217.58,0
1,1050.00,1051.16,1050.61,218.75,0
2,1050.04,1051.03,1050.37,219.53,0
3,1050.00,1051.14,1050.39,219.92,0
4,1049.96,1051.13,1050.45,219.53,0
5,1050.03,1051.19,1050.53,219.53,0
6,1049.99,1051.11,1050.55,219.92,0
7,1050.08,1051.15,1050.54,219.92,0
8,1050.02,1051.12,1050.48,217.97,0
9,1050.10,1051.10,1050.38,218.75,0
10,1050.07,1051.02,1050.37,219.92,0
11,1050.03,1051.09,1050.39,218.36,0
12,1050.04,1051.07,1050.40,219.53,0
13,1050.10,1051.18,1050.53,220.31,0
14,1049.99,1051.21,1050.59,219.14,0
15,1050.01,1051.21,1050.59,218.75,0
16,1050.06,1051.14,1050.55,218.75,0
17,1050.10,1051.13,1050.52,218.75,0
18,1050.08,1051.06,1050.43,220.31,0
19,1050.11,1051.09,1050.42,219.14,0
20,1050.08,1051.08,1050.43,218.36,0
21,1050.02,1051.11,1050.42,218.36,0
22,1050.04,1051.16,1050.50,218.36,0
23,1050.04,1051.19,1050.55,219.14,0
24,1050.00,1051.19,1050.57,220.31,0
25,1050.06,1051.19,1050.54,219.92,0
26,1050.10,1051.16,1050.53,219.92,0
27,1050.07,1051.07,1050.45,219.53,0
28,1050.06,1051.09,1050.41,218.36,0
29,1050.10,1051.08,1050.40,218.36,0
30,1050.06,1051.16,1050.49,220.31,0
31,1050.04,1051.18,1050.53,218.75,0
32,1050.04,1051.19,1050.63,218.75,0
33,1050.06,1051.18,1050.57,217.97,0
34,1050.06,1051.14,1050.57,218.75,0
35,1050.10,1051.10,1050.50,218.36,0
36,1050.07,1051.07,1050.43,218.36,0
37,1050.06,1051.09,1050.39,218.36,0
38,1050.06,1051.13,1050.47,217.97,0
39,1050.01,1051.17,1050.48,218.36,0
40,1050.01,1051.19,1050.53,218.36,0
41,1050.06,1051.18,1050.57,218.75,0
42,1050.04,1051.17,1050.57,219.53,0
43,1050.09,1051.16,1050.48,219.53,0
44,1050.07,1051.10,1050.41,218.36,0
45,1050.14,1051.08,1050.41,219.14,0
46,1050.04,1051.08,1050.37,219.92,0
47,1050.11,1051.18,1050.49,219.53,0
48,1050.02,1051.16,1050.52,219.53,0
49,1050.07,1051.21,1050.62,219.14,0
50,1050.05,1051.19,1050.61,219.92,0
51,1050.02,1051.16,1050.55,219.53,0
52,1050.05,1051.08,1050.44,218.36,0
53,1050.06,1051.11,1050.42,219.92,0
54,1050.05,1051.06,1050.41,217.97,0
55,1050.06,1051.11,1050.45,218.75,0
56,1049.98,1051.16,1050.49,219.92,0
57,1050.05,1051.20,1050.55,219.92,0
58,1050.00,1051.18,1050.55,219.14,0
59,1050.06,1051.22,1050.58,218.75,0
60,1050.09,1051.11,1050.51,218.75,0
61,1050.09,1051.12,1050.45,219.53,0
62,1050.04,1051.11,1050.40,219.53,0
63,1050.10,1051.13,1050.45,219.53,0
64,1050.03,1051.10,1050.43,218.36,0
65,1050.05,1051.20,1050.56,218.75,0
66,1050.04,1051.18,1050.56,219.92,0
67,1050.05,1051.20,1050.58,220.70,0
68,1050.05,1051.12,1050.49,218.75,0
69,1050.08,1051.14,1050.51,219.14,0
70,1050.09,1051.07,1050.40,219.53,0
71,1050.11,1051.11,1050.42,217.97,0
72,1050.03,1051.16,1050.46,218.36,0
73,1049.98,1051.18,1050.53,217.97,0
74,1049.96,1051.15,1050.54,219.92,0
75,1050.03,1051.26,1050.59,219.53,0
76,1050.04,1051.12,1050.55,218.36,0
77,1050.09,1051.14,1050.51,219.53,0
78,1050.08,1051.09,1050.43,218.36,0
79,1050.10,1051.11,1050.41,219.14,0
80,1050.05,1051.08,1050.45,218.36,0
81,1050.03,1051.17,1050.46,219.14,0
82,1050.01,1051.14,1050.53,218.36,0
83,1050.02,1051.17,1050.55,219.92,0
84,1050.02,1051.19,1050.59,218.36,0
85,1050.06,1051.15,1050.54,218.75,0
86,1050.05,1051.14,1050.47,219.92,0
87,1050.10,1051.11,1050.45,217.97,0
88,1050.05,1051.07,1050.44,219.14,0
89,1050.05,1051.14,1050.46,217.58,0
90,1050.02,1051.13,1050.54,218.36,0
91,1050.03,1051.18,1050.57,220.31,0
92,1050.01,1051.16,1050.59,220.31,0
93,1050.08,1051.25,1050.61,218.75,0
94,1050.07,1051.12,1050.55,217.97,0
95,1050.10,1051.10,1050.45,220.70,0
96,1050.07,1051.11,1050.38,220.31,0
97,1050.08,1051.10,1050.44,219.14,0
98,1050.03,1051.10,1050.44,219.92,0
99,1050.04,1051.17,1050.50,220.31,0
100,1050.03,1051.20,1050.54,218.36,0
101,1050.00,1051.17,1050.54,219.14,0
102,1050.07,1051.15,1050.55,218.36,0
103,1050.06,1051.17,1050.52,217.97,0
104,1050.07,1051.07,1050.43,219.53,0
105,1050.10,1051.11,1050.43,217.97,0
106,1050.05,1051.09,1050.44,218.75,0
107,1050.04,1051.14,1050.48,218.36,0
108,1049.97,1051.16,1050.55,218.36,0
109,1050.02,1051.24,1050.61,219.53,0
110,1050.03,1051.20,1050.57,219.14,0
111,1050.06,1051.18,1050.60,218.75,0
112,1050.04,1051.10,1050.49,219.14,0
113,1050.01,1051.10,1050.42,219.92,0
114,1050.03,1051.11,1050.38,219.53,0
115,1050.04,1051.13,1050.46,218.36,0
116,1049.98,1051.10,1050.44,218.36,0
117,1050.04,1051.23,1050.55,218.36,0
