,0,1,2,3,4
0,1051.24,1051.65,1051.93,217.97,0
1,1051.28,1051.63,1051.94,218.75,0
2,1051.33,1051.61,1051.89,219.53,0
3,1051.30,1051.58,1051.85,218.36,0
4,1051.28,1051.63,1051.94,218.75,0
5,1051.33,1051.61,1051.89,219.53,0
6,1051.30,1051.58,1051.85,218.36,0
7,1051.28,1051.63,1051.94,218.75,0
8,1051.33,1051.61,1051.89,219.53,0
9,1051.30,1051.58,1051.85,218.36,0
10,1051.26,1051.56,1051.82,219.14,0
11,1051.27,1051.58,1051.88,220.31,0
12,1051.26,1051.62,1051.94,218.36,0
13,1051.25,1051.59,1051.94,219.14,0
14,1051.28,1051.56,1051.83,218.75,0
15,1051.33,1051.53,1051.82,218.75,0
16,1051.31,1051.51,1051.75,219.92,0
17,1051.33,1051.56,1051.77,218.75,0
18,1051.30,1051.58,1051.87,218.75,0
19,1051.31,1051.58,1051.90,219.92,0
20,1051.25,1051.66,1051.92,219.92,0
21,1051.31,1051.66,1051.94,219.53,0
22,1051.27,1051.54,1051.87,217.97,0
23,1051.32,1051.54,1051.82,218.36,0
24,1051.30,1051.53,1051.80,219.53,0
25,1051.32,1051.52,1051.79,220.31,0
26,1051.26,1051.55,1051.85,221.09,0
27,1051.30,1051.59,1051.87,218.75,0
28,1051.29,1051.66,1051.97,217.97,0
29,1051.29,1051.60,1051.94,219.53,0
30,1051.34,1051.56,1051.91,219.92,0
31,1051.35,1051.54,1051.84,218.36,0
32,1051.29,1051.55,1051.82,218.36,0
33,1051.34,1051.53,1051.82,219.92,0
34,1051.31,1051.60,1051.91,220.31,0
35,1051.27,1051.62,1051.93,219.53,0
36,1051.29,1051.66,1051.94,220.31,0
37,1051.29,1051.59,1051.97,217.97,0
38,1051.31,1051.56,1051.89,218.75,0
39,1051.30,1051.50,1051.80,219.53,0
40,1051.34,1051.54,1051.81,218.75,0
41,1051.32,1051.55,1051.81,218.36,0
42,1051.27,1051.61,1051.87,219.92,0
43,1051.27,1051.60,1051.92,218.36,0
44,1051.31,1051.68,1051.98,218.36,0
45,1051.27,1051.62,1051.96,218.75,0
46,1051.31,1051.58,1051.88,219.92,0
47,1051.34,1051.56,1051.81,218.36,0
48,1051.30,1051.52,1051.80,220.31,0
49,1051.33,1051.58,1051.79,219.14,0
50,1051.31,1051.62,1051.87,218.36,0
51,1051.30,1051.64,1051.91,218.36,0
52,1051.30,1051.62,1051.95,219.53,0
