,0,1,2,3,4,5
0,1124.32,1073.44,1075.55,211.72,0,
1,1124.36,1073.45,1075.55,212.5,0,
2,1124.44,1073.44,1075.55,212.89,0,
3,1124.36,1073.43,1075.59,213.67,0,
4,1124.45,1073.45,1075.57,212.11,0,
5,1124.41,1073.45,1075.57,211.33,0,
6,1124.42,1073.47,1075.6,212.89,0,
7,1124.44,1073.47,1075.58,211.72,0,
8,1124.38,1073.47,1075.55,212.89,0,
9,1124.38,1073.44,1075.56,210.55,0,
10,1124.42,1073.49,1075.59,210.94,0,
11,1124.38,1073.47,1075.55,212.11,0,
12,1124.38,1073.42,1075.55,212.11,0,
13,1124.44,1073.45,1075.59,213.67,0,
14,1124.38,1073.45,1075.59,213.67,0,
15,1124.43,1073.44,1075.56,210.94,0,
16,1124.4,1073.46,1075.59,211.72,0,
17,1124.4,1073.45,1075.59,211.33,0,
18,1124.39,1073.44,1075.56,210.55,0,
19,1124.44,1073.41,1075.55,210.94,0,
20,1124.36,1073.43,1075.57,212.5,0,
21,1124.46,1073.44,1075.59,211.72,0,
22,1124.41,1073.49,1075.59,210.16,0,
23,1124.4,1073.42,1075.58,212.5,0,
24,1124.41,1073.46,1075.57,211.72,0,
25,1124.35,1073.46,1075.59,211.33,0,
26,1124.4,1073.44,1075.6,213.28,0,
27,1124.39,1073.43,1075.58,213.28,0,
28,1124.38,1073.42,1075.57,210.94,0,
29,1124.44,1073.44,1075.57,212.11,0,
30,1124.33,1073.46,1075.58,211.33,0,
31,1124.46,1073.47,1075.6,210.55,0,
32,1124.47,1073.46,1075.57,213.28,0,
33,1124.45,1073.44,1075.58,211.33,0,
34,1124.39,1073.43,1075.59,211.72,0,
35,1124.39,1073.44,1075.59,211.33,0,
36,1124.38,1073.45,1075.59,212.5,0,
37,1124.44,1073.44,1075.61,211.33,0,
38,1124.39,1073.45,1075.59,212.89,0,
39,1124.37,1073.45,1075.57,213.67,0,
40,1124.44,1073.43,1075.56,211.33,0,
41,1124.4,1073.47,1075.58,212.5,0,
42,1124.47,1073.45,1075.55,213.28,0,
43,1124.41,1073.47,1075.54,211.33,0,
44,1124.46,1073.44,1075.58,212.89,0,
45,1124.38,1073.45,1075.59,213.67,0,
46,1124.47,1073.44,1075.55,211.72,0,
47,1124.36,1073.45,1075.56,213.28,0,
48,1124.37,1073.43,1075.6,212.5,0,
49,1124.39,1073.44,1075.57,211.33,0,
50,1124.45,1073.44,1075.55,211.33,0,
51,1124.38,1073.44,1075.58,212.89,0,
52,1124.41,1073.43,1075.58,212.5,0,
53,1124.41,1073.45,1075.58,212.89,0,
54,1124.38,1073.46,1075.59,213.67,0,
55,1124.36,1073.44,1075.58,211.33,0,
56,1124.42,1073.47,1075.59,213.28,0,
57,1124.4,1073.45,1075.59,210.16,0,
58,1124.46,1073.46,1075.6,210.55,0,
59,1124.38,1073.47,1075.59,213.28,0,
60,1124.43,1073.45,1075.58,212.89,0,
61,1124.37,1073.45,1075.57,211.72,0,
62,1124.35,1073.44,1075.6,212.5,0,
63,1124.41,1073.45,1075.55,211.33,0,
