,0,1,2,3,4
0,1114.75,1064.04,1066.73,214.06,0
1,1114.74,1064.11,1066.76,211.72,0
2,1114.73,1064.09,1066.75,212.89,0
3,1114.72,1064.08,1066.73,211.33,0
4,1114.76,1064.09,1066.75,211.72,0
5,1114.74,1064.06,1066.75,212.5,0
6,1114.72,1064.09,1066.76,214.06,0
7,1114.63,1064.04,1066.77,213.67,0
8,1114.69,1064.07,1066.79,211.72,0
9,1114.69,1064.02,1066.72,211.72,0
10,1114.65,1064.03,1066.74,211.33,0
11,1114.69,1064.06,1066.74,211.33,0
12,1114.7,1064.02,1066.76,210.55,0
13,1114.7,1064.04,1066.75,213.67,0
14,1114.69,1064.06,1066.75,210.94,0
15,1114.76,1064.06,1066.73,213.67,0
16,1114.69,1064.04,1066.76,210.55,0
17,1114.73,1064.08,1066.79,210.55,0
18,1114.68,1064.05,1066.77,211.72,0
19,1114.7,1064.04,1066.78,212.11,0
20,1114.71,1064.06,1066.76,210.94,0
21,1114.68,1064.02,1066.75,212.5,0
22,1114.67,1064.06,1066.77,214.06,0
23,1114.68,1064.05,1066.72,213.67,0
24,1114.71,1064.09,1066.77,211.72,0
25,1114.7,1064.04,1066.76,212.5,0
26,1114.76,1064.09,1066.73,210.94,0
27,1114.71,1064.07,1066.74,212.89,0
28,1114.74,1064.05,1066.73,213.28,0
29,1114.72,1064.05,1066.76,212.5,0
30,1114.77,1064.09,1066.78,213.67,0
31,1114.74,1064.02,1066.77,212.89,0
32,1114.75,1064.04,1066.76,212.11,0
33,1114.65,1064.04,1066.76,214.06,0
34,1114.64,1064.05,1066.74,212.5,0
35,1114.73,1064.03,1066.72,211.72,0
36,1114.69,1064.04,1066.73,211.72,0
37,1114.64,1064.05,1066.72,211.72,0
38,1114.68,1064.05,1066.73,212.89,0
39,1114.7,1064.05,1066.79,212.5,0
40,1114.74,1064.04,1066.73,213.28,0
41,1114.65,1064.04,1066.74,213.28,0
42,1114.68,1064.04,1066.77,213.67,0
